,Song,lenght,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate,tempo,beat,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,genre
93,Dexter,105.69725,0.48097417,4064.267627181151,4114.365422605278,8684.56577951564,0.0695896,0.10013638370332997,151.99908088235293,0.15258493,-201.69641,77.19287,8.991213,26.866545,-1.7845805,18.203623,-7.388173,13.576409,-3.9816554,14.066318,-7.1342983,12.611643,-3.4843967,9.851822,-5.9142675,6.6381617,-4.685325,5.845132,-3.8349216,4.928852,crime
94,Foundation,81.38666666666667,0.38193303,1536.1536711215379,2135.7110388692504,2821.5451366138122,0.012080714,0.03283744195141528,112.34714673913044,0.056843713,-388.39737,136.73186,-24.812677,20.196943,-8.093446,7.886908,-8.848465,5.8602624,-9.126514,3.6253908,-7.413731,5.9246526,-2.4260406,3.867497,-3.9935267,2.7378223,-4.3462973,3.7476592,-0.66622525,1.2826865,drama
95,Only_Murders_Building,46.0335625,0.38123778,1841.0383071102983,2614.618114681428,3720.963783016682,0.047972508,0.03669451695001159,172.265625,0.16399385,-219.74678,133.41351,-9.141621,25.162148,-7.7430944,15.988394,-5.204848,10.857926,-11.319255,15.114674,-13.000546,11.229232,-11.82605,4.6988897,-3.8759508,5.286803,-5.506691,3.9446793,-2.1005223,5.066413,comedy
96,Nine_Perfect_Strangers,126.8041875,0.5255707,1412.300965984346,2274.772779107576,3029.9257917648047,0.023911,0.021913633693114904,129.19921875,0.07783988,-378.20868,127.59389,17.849205,29.93007,16.580019,10.905479,8.107919,1.3441684,5.3123126,4.6674376,-0.7875579,3.656766,-4.003158,3.322522,-2.162535,0.7977036,0.9943527,2.0021968,-0.41541827,1.454533,drama
97,Wheel_of_Time,91.03383333333333,0.49379024,1557.7257094291406,2312.6468191107706,3022.4983523725837,0.07667582,0.029657407915934388,129.19921875,0.11503423,-211.62825,137.78636,-11.831879,26.328005,-4.5911984,18.51869,5.186043,9.533757,-3.201535,12.165925,2.6290433,5.528344,-5.380886,2.6588469,-1.2190663,5.5667152,-2.5984073,1.5033135,-3.9871538,4.730216,action
98,Succession,93.01914583333334,0.44127646,1221.502317673763,1718.600066794875,2525.3563596491226,0.079820685,0.024451575220731568,129.19921875,0.10802133,-249.44232,115.288414,-21.974226,47.086014,-0.8701494,22.145697,-4.5667624,14.838741,-1.1894807,10.076286,-2.2067103,9.371931,-0.84657353,5.2178965,-0.09012116,6.1924224,-2.3843105,4.4850197,-0.048118003,2.680053,drama
99,Mindhunter,94.08,0.28683448,910.5007504739448,1680.3931998230726,1392.879917242943,0.012481491,0.017771754725938102,112.34714673913044,0.052485548,-473.95255,145.67905,21.718647,24.955154,16.96927,-4.0520973,0.18025869,-0.4050076,-7.5822797,-8.197288,-9.30247,-3.3293278,5.0829654,5.9260726,6.0084524,9.684935,7.3429956,3.7569826,4.8510838,2.841362,crime
100,Chuck,37.5815,0.5851496,2862.2835395931393,3115.79176757748,5954.202433314415,0.055614527,0.06192401102263053,112.34714673913044,0.14940582,-163.30502,93.433556,-26.83766,42.105648,0.5820406,27.591845,-2.9181635,18.353996,-6.024327,16.847914,-7.1381097,13.11048,-10.552578,5.915701,-8.102525,7.9870906,-7.2370653,4.7749915,-6.2695613,8.309123,action
101,GLEE,39.9615625,0.37638664,2306.434393905102,3410.156745957973,5602.231785428343,0.033398245,0.036434877068321325,75.99954044117646,0.12614217,-330.06445,96.2443,16.627794,28.133553,15.153282,25.291283,1.7972584,8.552113,-10.654762,13.596125,-11.437176,3.1412692,-9.652528,3.617185,-6.9844317,4.33964,-8.306385,1.1114725,-4.8111005,8.66234,comedy
102,13_Reasons_Why,25.309770833333335,0.3620062,1330.0525559592381,2064.439663211848,2328.1645069532237,0.032763656,0.02441612015381374,143.5546875,0.114126176,-336.63544,122.48038,-5.966697,3.4042313,-1.5065492,4.946074,0.21003166,2.8925874,-7.6025596,1.4750744,-1.5804642,4.0237427,-2.4157286,-4.855506,-8.307459,-4.3151207,-4.308159,0.4553649,0.35813203,0.47775227,drama
103,Big_Little_Lies,116.7499375,0.34548724,1799.9268855299183,2493.3313441598784,3432.9385449022475,0.046905402,0.033199690169354104,112.34714673913044,0.08356275,-286.9074,102.337494,-14.898632,19.830915,-11.984344,7.585237,-7.3945384,2.4557054,-12.292056,2.7993646,-11.228621,0.24465731,-9.052652,3.0636675,-4.6056566,2.1800992,-4.2081814,-1.0393137,-6.7044907,-2.5983791,crime
104,Skins,30.139520833333332,0.4684311,3314.477845550398,3640.374161955834,6823.041069532908,0.18979566,0.0734947944311748,92.28515625,0.16582128,-117.48222,95.04852,-0.39676443,23.578781,-11.4948,17.014753,-9.35775,9.550844,-8.571308,5.5831294,-6.8467784,4.3444214,-6.702014,2.2842276,-12.9361725,-3.882426,-11.407921,-1.8705051,-6.8036637,1.9054846,drama
105,Downton_Abbey,30.023401360544216,0.40989083,1645.2996063804342,2103.8789803433137,3237.8546126063006,0.07510293,0.03767202146550058,151.99908088235293,0.12322801,-206.52089,131.92648,-23.838186,36.090374,-3.423972,12.331473,-8.440591,7.6941338,-15.911804,4.6599545,-14.672891,-1.5659649,-12.504839,-2.0312722,-14.191781,-3.3747642,-11.23759,0.3377859,-7.0754385,1.554557,drama
106,Casa_de_Papel,58.44462585034014,0.39395675,1799.6179420038045,2654.525358292528,3901.457163139275,0.021706954,0.033050676514399205,99.38401442307692,0.14063673,-382.71024,134.56065,13.846865,29.777124,9.941958,7.3933344,2.5691142,-3.0734904,-3.5212407,19.135298,-25.316021,5.1394734,-7.494651,-4.5758452,-21.621532,-0.33945552,-15.618864,-7.9451785,-4.500545,-3.6443846,action
107,Peaky_blinders,69.79918367346939,0.5728741,2495.3747816986934,3166.9290763167164,5628.25215775975,0.10899017,0.03534196415578746,117.45383522727273,0.18967327,-218.38849,74.45747,5.9190664,45.16106,17.792927,32.879925,6.3167305,16.626322,-4.1754723,18.188196,0.7934963,16.616184,0.1483676,12.718402,-3.207719,10.164768,-1.4562995,4.9766197,-5.0729656,6.9525094,crime
108,Teen_Wolf,35.456870748299316,0.59449875,3246.2355521271143,3601.8590878423847,7487.655083239566,0.05276974,0.07139183331628478,99.38401442307692,0.16856919,-177.73335,108.76941,-10.455829,36.5147,2.6236584,20.273966,-3.9711306,18.07495,-5.117032,14.312544,-8.046223,9.457778,-10.113627,6.8019857,-7.1490917,9.709994,-7.238304,5.068722,-9.153494,1.9641353,action
